municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Guayama,South,2030,29712.334498484262,29930.96427916001,30751.098714137013,31374.338763732972,32004.086630031194,32633.63433032598,33027.78553306596,hurricane_cat3,32009.807738982196,-635.4689752492231,-1.9852320902113263
Guayanilla,South,2030,15122.22459430344,15203.120249295609,15398.731004598169,15565.873874264937,15742.54957037278,15995.675597177667,16067.057569950997,hurricane_cat3,15821.717686873475,-255.84381260853843,-1.617041952535911
Guaynabo,Metro,2030,77282.22981770834,78146.24955821109,79946.943286045,81156.7312113849,82962.46259987744,84732.43246985869,85748.79895692981,hurricane_cat3,82310.13768677108,-1153.4064753861749,-1.4012933373716745
Gurabo,East,2030,31916.61111155098,32548.84351714798,33716.40880251939,34917.42659057543,36217.33897343704,37370.27520081831,38566.60299444789,hurricane_cat3,35790.0332448611,-872.6066542856715,-2.438127532085946
Guánica,West,2030,10441.263151742061,10570.656195804331,10811.377274993101,11068.535011845857,11328.94745464767,11554.864093737715,11740.798719755376,hurricane_cat3,11292.231028463433,-223.69601661757588,-1.9809727241120292
Hatillo,North,2030,34169.34820179395,34474.82574866412,34875.75371961493,35280.564758547676,35655.95944075277,36061.321790565766,36340.24614243835,hurricane_cat3,35686.37064566523,-405.80588711755263,-1.1371453016246842
Hormigueros,West,2030,13959.09673903975,13989.678268693957,14109.509820979818,14244.858505517928,14365.279555689354,14505.057207415472,14561.527094721423,hurricane_cat3,14421.574562170397,-176.71605665246898,-1.225358964034464
Humacao,East,2030,43113.88237330605,43326.6083677496,43738.18776124699,44187.6838510036,44671.260355329985,45084.2518457653,45368.51841398947,hurricane_cat3,45150.927065703785,-963.2432147001819,-2.133385242120205
Isabela,West,2030,37698.90992411565,38100.21607076048,38709.8462685641,39314.267216881504,39948.625764747994,40777.52044760208,41154.63048341425,hurricane_cat3,39780.04632661537,-465.77910973386315,-1.1708862928654447
Jayuya,Central Mountains,2030,12998.759985261606,13121.489458081453,13254.255247639332,13468.82542062289,13712.002280724791,13962.84306447314,14065.095180503573,hurricane_cat3,13653.611631697586,-184.78621107469553,-1.353387045561663
Juana Díaz,South,2030,39812.619143551514,40157.25869574085,40776.27593512117,41601.12225994641,42204.685240876395,42748.201672049334,42919.14485611424,hurricane_cat3,42411.152503143814,-810.0302431974051,-1.9099463122049323
Juncos,East,2030,31159.707438737,31369.049351404876,31837.270636039182,32256.364792868822,32650.82200934657,32981.40319081701,33177.84324525229,hurricane_cat3,32935.661674566174,-679.2968816973516,-2.0624965376721835
Lajas,West,2030,20631.229993429086,20761.59226817166,21037.711110161166,21383.28981289066,21808.026662858614,22138.080934770158,22393.513650790766,hurricane_cat3,21669.421713009204,-286.13190011854385,-1.3204408678186599
Lares,Central Mountains,2030,23217.113980479568,23472.93831153129,24489.0859431246,25658.522925742524,26628.851752881794,27371.957801005192,27774.946598945004,hurricane_cat3,26041.98297452795,-383.4600487854259,-1.4724687024044747
Las Marías,West,2030,7465.114191719496,7572.180935778154,7776.123306325314,8029.171470568172,8322.178229084344,8504.325744559475,8563.191658910193,hurricane_cat3,8123.678878716515,-94.50740814834353,-1.163357261645909
Las Piedras,East,2030,29487.568358037235,29654.437125185003,30040.572712027166,30562.98643573906,31024.16661457516,31674.34771835778,31914.660540439174,hurricane_cat3,31246.828497285904,-683.8420615468422,-2.1885167053233596
Loíza,East,2030,19350.732371533137,19511.555732359033,19728.39460970657,19972.22736512134,20189.493478097793,20403.633899406752,20485.575122261103,hurricane_cat3,20405.31737624062,-433.09001111927864,-2.122437025280266
Luquillo,East,2030,15000.88809794315,15088.295321726899,15254.804414632796,15426.701726908545,15646.406587360747,15783.843710623976,15920.840228340057,hurricane_cat3,15744.255607572946,-317.55388066440173,-2.0169507443188306
Manatí,North,2030,34584.38630062292,34779.31994539823,35406.42570896636,36035.211369577475,36566.11591400166,37291.40317655104,37593.259577008714,hurricane_cat3,36432.21239398803,-397.0010244105579,-1.0896978204817178
Maricao,West,2030,4384.633979832498,4470.627233357272,4567.073727024588,4668.382543122614,4822.53436301386,4918.025711150283,4991.0443572893,hurricane_cat3,4744.606130569123,-76.22358744650865,-1.6065314032160876
Maunabo,East,2030,8783.729150828189,8864.741919043192,8960.777825027331,9085.650551216142,9235.819330519123,9363.88134238474,9423.593161260469,hurricane_cat3,9282.623854665311,-196.97330344916918,-2.1219571807832467
Mayagüez,West,2030,63721.00654913668,64268.75301495239,65028.29275547064,66002.42565280799,66893.92658965403,67697.75057842578,68030.83082072224,hurricane_cat3,66843.64402029655,-841.21836748856,-1.2584866965558172
Moca,West,2030,32585.86818756392,32903.108569074895,33645.8849346127,34290.45279522943,34937.642007796254,35650.51076141005,36053.7905166987,hurricane_cat3,34670.98454057217,-380.5317453427415,-1.0975510225198284
Morovis,Central Mountains,2030,25279.99991518978,25464.91323360495,25863.075635779223,26287.56378621624,26638.037574833343,27057.905849018098,27334.14811991258,hurricane_cat3,26623.3992954406,-335.83550922435825,-1.2614298628720635
