scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_5,Maunabo,East,9191.800364046676,9282.623854665311,-90.82349061863533,-0.9784247648146248
earthquake_m6_5,Florida,North,10659.013050245896,10739.186843439846,-80.17379319394968,-0.7465536670769887
earthquake_m6_5,Vieques,East,7174.073067763349,7244.826433188862,-70.75336542551304,-0.9766053897632222
earthquake_m6_5,Las Marías,West,8060.200575579984,8123.678878716515,-63.478303136531395,-0.7813984782539869
earthquake_m6_5,Maricao,West,4687.372678056112,4744.606130569123,-57.23345251301089,-1.2062845879715973
earthquake_m6_5,Culebra,East,1162.0110147021378,1174.336303768819,-12.325289066681307,-1.0495536097390101
earthquake_m6_8,San Juan,Metro,306536.2832688087,310672.4505599049,-4136.167291096237,-1.331359534339749
earthquake_m6_8,Ponce,South,119191.24813162885,121528.73921075082,-2337.4910791219736,-1.923406014332445
earthquake_m6_8,Bayamón,Metro,166445.29883100686,168650.71142058505,-2205.412589578191,-1.307680573062204
earthquake_m6_8,Carolina,Metro,138134.4623719168,139877.07162691333,-1742.6092549965251,-1.245814796326659
earthquake_m6_8,Caguas,East,111573.87090335114,113126.81334654687,-1552.9424431957304,-1.3727447960887278
earthquake_m6_8,Guaynabo,Metro,81197.9517984802,82310.13768677108,-1112.1858882908855,-1.3512137381221225
earthquake_m6_8,Arecibo,North,79857.82696119766,80780.55067571937,-922.7237145217077,-1.1422597479260013
earthquake_m6_8,Mayagüez,West,65963.59985512577,66843.64402029655,-880.0441651707806,-1.3165711984576456
earthquake_m6_8,Juana Díaz,South,41579.34824462382,42411.152503143814,-831.8042585199946,-1.9612866178497164
earthquake_m6_8,Toa Alta,Metro,60495.94303748007,61285.884998354086,-789.9419608740136,-1.2889459961216658
earthquake_m6_8,Toa Baja,Metro,67364.79204863874,68133.91665316725,-769.1246045285079,-1.1288424947646902
earthquake_m6_8,Trujillo Alto,Metro,61006.14580558057,61768.33622351152,-762.1904179309495,-1.2339500535888306
earthquake_m6_8,Humacao,East,44495.422330038375,45150.927065703785,-655.5047356654104,-1.451807921267082
